step,m,time
1,2,1
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,1
1,2,1
1,2,0
1,2,0
1,2,0
1,2,0
1,2,1
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,1
1,2,0
1,2,1
1,2,0
1,2,1
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,1
1,2,0
1,2,0
1,2,1
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,4,0
1,4,0
1,4,1
1,4,3
1,4,1
1,4,2
1,4,4
1,4,2
1,4,1
1,4,2
1,4,2
1,4,0
1,4,1
1,4,2
1,4,0
1,4,1
1,4,1
1,4,1
1,4,1
1,4,0
1,4,2
1,4,2
1,4,1
1,4,1
1,4,1
1,4,3
1,4,1
1,4,3
1,4,2
1,4,1
1,4,2
1,4,0
1,4,1
1,4,1
1,4,2
1,4,1
1,4,1
1,4,1
1,4,1
1,4,0
1,4,0
1,4,1
1,4,1
1,4,1
1,4,0
1,4,0
1,4,1
1,4,3
1,4,0
1,4,0
1,4,2
1,4,0
1,4,2
1,4,1
1,4,3
1,4,1
1,4,3
1,4,3
1,4,1
1,4,1
1,4,3
1,4,4
1,4,0
1,4,1
1,4,2
1,4,2
1,4,0
1,4,0
1,4,0
1,4,2
1,4,1
1,4,3
1,4,2
1,4,1
1,4,0
1,4,2
1,4,0
1,4,1
1,4,2
1,4,1
1,4,1
1,4,0
1,4,2
1,4,1
1,4,2
1,4,2
1,4,1
1,4,1
1,4,0
1,4,1
1,4,1
1,4,0
1,4,1
1,4,3
1,4,1
1,4,3
1,4,1
1,4,2
1,4,0
1,4,2
1,8,3
1,8,0
1,8,4
1,8,5
1,8,4
1,8,5
1,8,2
1,8,3
1,8,3
1,8,6
1,8,0
1,8,5
1,8,4
1,8,2
1,8,3
1,8,4
1,8,3
1,8,2
1,8,4
1,8,4
1,8,1
1,8,3
1,8,8
1,8,2
1,8,3
1,8,3
1,8,4
1,8,4
1,8,3
1,8,4
1,8,4
1,8,3
1,8,4
1,8,3
1,8,3
1,8,4
1,8,6
1,8,3
1,8,2
1,8,4
1,8,2
1,8,3
1,8,2
1,8,4
1,8,2
1,8,1
1,8,1
1,8,2
1,8,2
1,8,4
1,8,0
1,8,3
1,8,2
1,8,5
1,8,7
1,8,4
1,8,5
1,8,6
1,8,5
1,8,0
1,8,4
1,8,2
1,8,4
1,8,1
1,8,1
1,8,1
1,8,3
1,8,1
1,8,2
1,8,2
1,8,2
1,8,0
1,8,1
1,8,1
1,8,1
1,8,4
1,8,2
1,8,4
1,8,3
1,8,2
1,8,2
1,8,2
1,8,4
1,8,2
1,8,3
1,8,3
1,8,2
1,8,5
1,8,1
1,8,2
1,8,3
1,8,2
1,8,2
1,8,4
1,8,5
1,8,5
1,8,1
1,8,3
1,8,4
1,8,1
1,16,7
1,16,4
1,16,6
1,16,5
1,16,6
1,16,4
1,16,7
1,16,6
1,16,6
1,16,8
1,16,6
1,16,8
1,16,10
1,16,6
1,16,7
1,16,6
1,16,7
1,16,3
